Ticker,Description,Last,Volume,Market Capitalization,Sector,Industry,Exchange
RECO,RECONNAISSANCE ENERGY AFRICA LTD,3.51,199188,220253000,Energy Minerals,Oil & Gas Production,TSXV
REG,REGULUS RESOURCES INC,0.82,422798,91665000,Non-Energy Minerals,Other Metals/Minerals,TSXV
RELA,RELAY MEDICAL CORP,0.59,698265,139292000,Energy Minerals,Oil & Gas Production,CSE
RHT,RELIQ HEALTH TECHNOLOGIES INC,0.57,337850,98062700,Electronic Technology,Semiconductors,TSXV
RNW,TRANSALTA RENEWABLES INC,20.47,405520,5535510000,Utilities,Alternative Power Generation,TSX
ROS,ROSCAN GOLD CORPORATION,0.59,265382,112816000,Non-Energy Minerals,Other Metals/Minerals,TSXV
ROXG,ROXGOLD INC,1.84,2318059,708625000,Non-Energy Minerals,Precious Metals,TSX
RSF,RITUAL SUPERFOODS,0.96,302614,61762000,Retail Trade,Internet Retail,CSE
RSI,ROGERS SUGAR INC,5.51,125814,574630000,Process Industries,Agricultural Commodities/Milling,TSX
RSS,RESAAS SERVICES INC,1.76,147418,121306000,Finance,Real Estate Development,TSXV
RVV,REVIVE THERAPEUTIC,0.465,881152,63068400,Health Technology,Pharmaceuticals: Major,CSE
RWB,RED WHITE & BLOOM,1.47,360326,264017000,Finance,Finance/Rental/Leasing,CSE
RYR,ROYAL ROAD MINERALS LIMITED,0.365,218355,98399600,Non-Energy Minerals,Precious Metals,TSXV
S,SHERRITT INTL RV,0.5,478230,202615000,Non-Energy Minerals,Other Metals/Minerals,TSX
SBB,SABINA GOLD AND SILVER CORP,1.81,1711577,636584000,Non-Energy Minerals,Other Metals/Minerals,TSX
SCL,SHAWCOR LTD,5.54,356468,380342000,Process Industries,Industrial Specialties,TSX
SCR,SCORE MEDIA AND GAMING INC,24.84,370008,1123030000,Technology Services,Internet Software/Services,TSX
SCZ,SANTACRUZ SILVER MINING LTD,0.365,193689,99410700,Non-Energy Minerals,Precious Metals,TSXV
SDE,SPARTAN DELTA CORP,3.95,222929,230679000,Energy Minerals,Oil & Gas Production,TSXV
SES,SECURE ENERGY SERVICES INC.,4.24,1362831,617548000,Industrial Services,Oilfield Services/Equipment,TSX
SGI,SUPERIOR GOLD INC,0.71,128622,86498600,Non-Energy Minerals,Precious Metals,TSXV
SGR.R,SLATE GROCERY REIT SUB RECEIPTS,12.05,102800,593017000,Finance,Real Estate Investment Trusts,TSX
SGR.UN,SLATE GROCERY REIT,12.2,120473,593017000,Finance,Real Estate Investment Trusts,TSX
SGY,SURGE ENERGY INC,0.6,1396231,193677000,Energy Minerals,Oil & Gas Production,TSX
